layer	object_id	event_type	parent_node	child_node	parent_label	child_label	branch_length	status	change	event_probability	ctmc_change_probability	ctmc_most_likely_change	ctmc_most_likely_change_probability
element_presence	EG_yande_Y	state_change	jgw_clade	Dyak	jgw_clade	Dyak	1	unchanged_or_ambiguous	NA	0	1.33223e-07	present->present	1
element_presence	EG_yande_Y	state_change	jgw_clade	Dtei	jgw_clade	Dtei	1	unchanged_or_ambiguous	NA	0	1.33223e-07	present->present	1
element_role_state	EG_yande_Y	state_change	root	mel_group	root	mel_group	1	unchanged_or_ambiguous	NA	0	0.0864225	non_exonic_source->non_exonic_source	0.908129
element_role_state	EG_yande_Y	state_change	mel_group	Dmel	mel_group	Dmel	1	unchanged_or_ambiguous	NA	0	0.00710595	non_exonic_source->non_exonic_source	0.992894
element_role_state	EG_yande_Y	state_change	mel_group	Dsim	mel_group	Dsim	1	unchanged_or_ambiguous	NA	0	0.00710595	non_exonic_source->non_exonic_source	0.992894
element_role_state	EG_yande_Y	state_change	root	yak_tei	root	yak_tei	1	unchanged_or_ambiguous	NA	0	0.0853665	non_exonic_source->non_exonic_source	0.849251
element_role_state	EG_yande_Y	state_change	yak_tei	Dere	yak_tei	Dere	1	unchanged_or_ambiguous	NA	0	0.136398	non_exonic_source->non_exonic_source	0.863601
element_role_state	EG_yande_Y	element_role_state_change	yak_tei	jgw_clade	yak_tei	jgw_clade	1	change_required	non_exonic_source->CDS	1	0.829911	non_exonic_source->CDS	0.803512
element_role_state	EG_yande_Y	state_change	jgw_clade	Dyak	jgw_clade	Dyak	1	unchanged_or_ambiguous	NA	0	0.0615465	CDS->CDS	0.938453
element_role_state	EG_yande_Y	state_change	jgw_clade	Dtei	jgw_clade	Dtei	1	unchanged_or_ambiguous	NA	0	0.0615465	CDS->CDS	0.938453
element_adjacency_state	EG_yande_Y__EG_Adh_A	state_change	root	mel_group	root	mel_group	1	unchanged_or_ambiguous	NA	0	0.975633	absent->present	0.51732
element_adjacency_state	EG_yande_Y__EG_Adh_A	state_change	mel_group	Dmel	mel_group	Dmel	1	unchanged_or_ambiguous	NA	0	0.997568	present->absent	0.812617
element_adjacency_state	EG_yande_Y__EG_Adh_A	state_change	mel_group	Dsim	mel_group	Dsim	1	unchanged_or_ambiguous	NA	0	0.997568	present->absent	0.812617
element_adjacency_state	EG_yande_Y__EG_Adh_A	state_change	root	yak_tei	root	yak_tei	1	unchanged_or_ambiguous	NA	0	0.976611	absent->present	0.532126
element_adjacency_state	EG_yande_Y__EG_Adh_A	state_change	yak_tei	Dere	yak_tei	Dere	1	unchanged_or_ambiguous	NA	0	0.988772	present->absent	0.824306
element_adjacency_state	EG_yande_Y__EG_Adh_A	element_adjacency_state_change	yak_tei	jgw_clade	yak_tei	jgw_clade	1	change_required	absent->present	1	0.987301	present->absent	0.665899
element_adjacency_state	EG_yande_Y__EG_Adh_A	state_change	jgw_clade	Dyak	jgw_clade	Dyak	1	unchanged_or_ambiguous	NA	0	0.998397	absent->present	0.820846
element_adjacency_state	EG_yande_Y__EG_Adh_A	state_change	jgw_clade	Dtei	jgw_clade	Dtei	1	unchanged_or_ambiguous	NA	0	0.998397	absent->present	0.820846
source_mixture	jingwei	state_change	root	mel_group	root	mel_group	1	unchanged_or_ambiguous	NA	0	0.196489	single_source->single_source	0.780398
source_mixture	jingwei	state_change	mel_group	Dmel	mel_group	Dmel	1	unchanged_or_ambiguous	NA	0	0.0307534	single_source->single_source	0.969246
source_mixture	jingwei	state_change	mel_group	Dsim	mel_group	Dsim	1	unchanged_or_ambiguous	NA	0	0.0307534	single_source->single_source	0.969246
source_mixture	jingwei	state_change	root	yak_tei	root	yak_tei	1	unchanged_or_ambiguous	NA	0	0.134334	single_source->single_source	0.694855
source_mixture	jingwei	state_change	yak_tei	Dere	yak_tei	Dere	1	unchanged_or_ambiguous	NA	0	0.27494	single_source->single_source	0.725058
source_mixture	jingwei	source_mixture_change	yak_tei	jgw_clade	yak_tei	jgw_clade	1	change_required	single_source->multi_source	1	0.723116	single_source->multi_source	0.678569
source_mixture	jingwei	state_change	jgw_clade	Dyak	jgw_clade	Dyak	1	unchanged_or_ambiguous	NA	0	0.0492435	multi_source->multi_source	0.950756
source_mixture	jingwei	state_change	jgw_clade	Dtei	jgw_clade	Dtei	1	unchanged_or_ambiguous	NA	0	0.0492435	multi_source->multi_source	0.950756
copy_multiplicity	jingwei	state_change	root	mel_group	root	mel_group	1	unchanged_or_ambiguous	NA	0	5.06055e-06	single_copy->single_copy	0.999995
copy_multiplicity	jingwei	state_change	mel_group	Dmel	mel_group	Dmel	1	unchanged_or_ambiguous	NA	0	1.11841e-08	single_copy->single_copy	1
copy_multiplicity	jingwei	state_change	mel_group	Dsim	mel_group	Dsim	1	unchanged_or_ambiguous	NA	0	1.11841e-08	single_copy->single_copy	1
copy_multiplicity	jingwei	state_change	root	yak_tei	root	yak_tei	1	unchanged_or_ambiguous	NA	0	5.06055e-06	single_copy->single_copy	0.999995
copy_multiplicity	jingwei	state_change	yak_tei	Dere	yak_tei	Dere	1	unchanged_or_ambiguous	NA	0	1.11923e-08	single_copy->single_copy	1
copy_multiplicity	jingwei	state_change	yak_tei	jgw_clade	yak_tei	jgw_clade	1	unchanged_or_ambiguous	NA	0	1.52569e-08	single_copy->single_copy	1
copy_multiplicity	jingwei	state_change	jgw_clade	Dyak	jgw_clade	Dyak	1	unchanged_or_ambiguous	NA	0	6.09207e-09	single_copy->single_copy	1
copy_multiplicity	jingwei	state_change	jgw_clade	Dtei	jgw_clade	Dtei	1	unchanged_or_ambiguous	NA	0	6.09207e-09	single_copy->single_copy	1
