layer	object_id	score	node_id	node_label	state	probability	is_parsimony_best
element_role_state	EG_sdic_I	2	Dsim	Dsim	unknown	0	0
element_role_state	EG_sdic_I	2	mel	Dmel	CDS	1	1
element_role_state	EG_sdic_I	2	mel	Dmel	absent	0	0
element_role_state	EG_sdic_I	2	mel	Dmel	exon_or_UTR	0	0
element_role_state	EG_sdic_I	2	mel	Dmel	non_exonic_source	0	0
element_role_state	EG_sdic_I	2	mel	Dmel	unknown	0	0
element_presence	EG_sw_S	0	root	root	absent	0.00247262	0
element_presence	EG_sw_S	0	root	root	present	0.997527	1
element_presence	EG_sw_S	0	outgroup	Dyak	absent	0	0
element_presence	EG_sw_S	0	outgroup	Dyak	present	1	1
element_presence	EG_sw_S	0	mel_sim	mel_sim	absent	0.119203	0
element_presence	EG_sw_S	0	mel_sim	mel_sim	present	0.880797	1
element_presence	EG_sw_S	0	Dsim	Dsim	absent	0	0
element_presence	EG_sw_S	0	Dsim	Dsim	present	1	1
element_presence	EG_sw_S	0	mel	Dmel	absent	0	0
element_presence	EG_sw_S	0	mel	Dmel	present	1	1
element_role_state	EG_sw_S	0	root	root	CDS	0.868176	1
element_role_state	EG_sw_S	0	root	root	absent	0.00215199	0
element_role_state	EG_sw_S	0	root	root	exon_or_UTR	0.0432239	0
element_role_state	EG_sw_S	0	root	root	non_exonic_source	0.0432239	0
element_role_state	EG_sw_S	0	root	root	unknown	0.0432239	0
element_role_state	EG_sw_S	0	outgroup	Dyak	CDS	1	1
element_role_state	EG_sw_S	0	outgroup	Dyak	absent	0	0
element_role_state	EG_sw_S	0	outgroup	Dyak	exon_or_UTR	0	0
element_role_state	EG_sw_S	0	outgroup	Dyak	non_exonic_source	0	0
element_role_state	EG_sw_S	0	outgroup	Dyak	unknown	0	0
element_role_state	EG_sw_S	0	mel_sim	mel_sim	CDS	0.446633	1
element_role_state	EG_sw_S	0	mel_sim	mel_sim	absent	0.0604452	0
element_role_state	EG_sw_S	0	mel_sim	mel_sim	exon_or_UTR	0.164307	0
element_role_state	EG_sw_S	0	mel_sim	mel_sim	non_exonic_source	0.164307	0
element_role_state	EG_sw_S	0	mel_sim	mel_sim	unknown	0.164307	0
element_role_state	EG_sw_S	0	Dsim	Dsim	CDS	1	1
element_role_state	EG_sw_S	0	Dsim	Dsim	absent	0	0
element_role_state	EG_sw_S	0	Dsim	Dsim	exon_or_UTR	0	0
element_role_state	EG_sw_S	0	Dsim	Dsim	non_exonic_source	0	0
element_role_state	EG_sw_S	0	Dsim	Dsim	unknown	0	0
element_role_state	EG_sw_S	0	mel	Dmel	CDS	1	1
element_role_state	EG_sw_S	0	mel	Dmel	absent	0	0
element_role_state	EG_sw_S	0	mel	Dmel	exon_or_UTR	0	0
element_role_state	EG_sw_S	0	mel	Dmel	non_exonic_source	0	0
element_role_state	EG_sw_S	0	mel	Dmel	unknown	0	0
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	root	root	absent	0.111166	0
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	root	root	copy_variable	0.0674254	0
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	root	root	present	0.821409	1
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	outgroup	Dyak	absent	0.333333	0
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	outgroup	Dyak	copy_variable	0.333333	0
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	outgroup	Dyak	present	0.333333	1
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	mel_sim	mel_sim	absent	0.333333	0
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	mel_sim	mel_sim	copy_variable	0.333333	0
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	mel_sim	mel_sim	present	0.333333	1
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	Dsim	Dsim	absent	0.333333	0
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	Dsim	Dsim	copy_variable	0.333333	0
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	Dsim	Dsim	present	0.333333	1
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	mel	Dmel	absent	0	0
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	mel	Dmel	copy_variable	0	0
element_adjacency_state	EG_Anx_A__EG_sdic_I	0	mel	Dmel	present	1	1
element_adjacency_state	EG_Anx_A__EG_sw_S	2	root	root	absent	0.728881	1
element_adjacency_state	EG_Anx_A__EG_sw_S	2	root	root	copy_variable	0.00297877	0
element_adjacency_state	EG_Anx_A__EG_sw_S	2	root	root	present	0.26814	0
element_adjacency_state	EG_Anx_A__EG_sw_S	2	outgroup	Dyak	absent	1	1
element_adjacency_state	EG_Anx_A__EG_sw_S	2	outgroup	Dyak	copy_variable	0	0
element_adjacency_state	EG_Anx_A__EG_sw_S	2	outgroup	Dyak	present	0	0
element_adjacency_state	EG_Anx_A__EG_sw_S	2	mel_sim	mel_sim	absent	0.766157	1
element_adjacency_state	EG_Anx_A__EG_sw_S	2	mel_sim	mel_sim	copy_variable	0.06289	0
element_adjacency_state	EG_Anx_A__EG_sw_S	2	mel_sim	mel_sim	present	0.170953	0
element_adjacency_state	EG_Anx_A__EG_sw_S	2	Dsim	Dsim	absent	1	1
element_adjacency_state	EG_Anx_A__EG_sw_S	2	Dsim	Dsim	copy_variable	0	0
element_adjacency_state	EG_Anx_A__EG_sw_S	2	Dsim	Dsim	present	0	0
element_adjacency_state	EG_Anx_A__EG_sw_S	2	mel	Dmel	absent	0	0
element_adjacency_state	EG_Anx_A__EG_sw_S	2	mel	Dmel	copy_variable	0	0
element_adjacency_state	EG_Anx_A__EG_sw_S	2	mel	Dmel	present	1	1
element_adjacency_state	EG_sdic_I__EG_sw_S	0	root	root	absent	0.111166	0
element_adjacency_state	EG_sdic_I__EG_sw_S	0	root	root	copy_variable	0.0674254	0
element_adjacency_state	EG_sdic_I__EG_sw_S	0	root	root	present	0.821409	1
element_adjacency_state	EG_sdic_I__EG_sw_S	0	outgroup	Dyak	absent	0.333333	0
element_adjacency_state	EG_sdic_I__EG_sw_S	0	outgroup	Dyak	copy_variable	0.333333	0
element_adjacency_state	EG_sdic_I__EG_sw_S	0	outgroup	Dyak	present	0.333333	1
element_adjacency_state	EG_sdic_I__EG_sw_S	0	mel_sim	mel_sim	absent	0.333333	0
element_adjacency_state	EG_sdic_I__EG_sw_S	0	mel_sim	mel_sim	copy_variable	0.333333	0
element_adjacency_state	EG_sdic_I__EG_sw_S	0	mel_sim	mel_sim	present	0.333333	1
element_adjacency_state	EG_sdic_I__EG_sw_S	0	Dsim	Dsim	absent	0.333333	0
element_adjacency_state	EG_sdic_I__EG_sw_S	0	Dsim	Dsim	copy_variable	0.333333	0
element_adjacency_state	EG_sdic_I__EG_sw_S	0	Dsim	Dsim	present	0.333333	1
element_adjacency_state	EG_sdic_I__EG_sw_S	0	mel	Dmel	absent	0	0
element_adjacency_state	EG_sdic_I__EG_sw_S	0	mel	Dmel	copy_variable	0	0
element_adjacency_state	EG_sdic_I__EG_sw_S	0	mel	Dmel	present	1	1
source_mixture	sdic	2	root	root	multi_source	0.106507	0
source_mixture	sdic	2	root	root	single_source	0.786986	1
source_mixture	sdic	2	root	root	unknown	0.106507	0
source_mixture	sdic	2	outgroup	Dyak	multi_source	0	0
source_mixture	sdic	2	outgroup	Dyak	single_source	1	1
source_mixture	sdic	2	outgroup	Dyak	unknown	0	0
source_mixture	sdic	2	mel_sim	mel_sim	multi_source	0.0900306	0
source_mixture	sdic	2	mel_sim	mel_sim	single_source	0.665241	1
source_mixture	sdic	2	mel_sim	mel_sim	unknown	0.244728	0
source_mixture	sdic	2	Dsim	Dsim	multi_source	0	0
source_mixture	sdic	2	Dsim	Dsim	single_source	1	1
source_mixture	sdic	2	Dsim	Dsim	unknown	0	0
source_mixture	sdic	2	mel	Dmel	multi_source	1	1
source_mixture	sdic	2	mel	Dmel	single_source	0	0
source_mixture	sdic	2	mel	Dmel	unknown	0	0
copy_multiplicity	sdic	1.5	root	root	dispersed_multi_copy	0.0350051	0
copy_multiplicity	sdic	1.5	root	root	same_contig_multi_copy	0.0350051	0
copy_multiplicity	sdic	1.5	root	root	single_copy	0.703097	1
copy_multiplicity	sdic	1.5	root	root	tandem_multi_copy	0.156882	0
copy_multiplicity	sdic	1.5	root	root	unknown	0.0350051	0
copy_multiplicity	sdic	1.5	root	root	unresolved	0.0350051	0
copy_multiplicity	sdic	1.5	outgroup	Dyak	dispersed_multi_copy	0	0
copy_multiplicity	sdic	1.5	outgroup	Dyak	same_contig_multi_copy	0	0
copy_multiplicity	sdic	1.5	outgroup	Dyak	single_copy	1	1
copy_multiplicity	sdic	1.5	outgroup	Dyak	tandem_multi_copy	0	0
copy_multiplicity	sdic	1.5	outgroup	Dyak	unknown	0	0
copy_multiplicity	sdic	1.5	outgroup	Dyak	unresolved	0	0
copy_multiplicity	sdic	1.5	mel_sim	mel_sim	dispersed_multi_copy	0.105466	0
copy_multiplicity	sdic	1.5	mel_sim	mel_sim	same_contig_multi_copy	0.105466	0
copy_multiplicity	sdic	1.5	mel_sim	mel_sim	single_copy	0.472668	1
copy_multiplicity	sdic	1.5	mel_sim	mel_sim	tandem_multi_copy	0.105466	0
copy_multiplicity	sdic	1.5	mel_sim	mel_sim	unknown	0.105466	0
copy_multiplicity	sdic	1.5	mel_sim	mel_sim	unresolved	0.105466	0
copy_multiplicity	sdic	1.5	Dsim	Dsim	dispersed_multi_copy	0	0
copy_multiplicity	sdic	1.5	Dsim	Dsim	same_contig_multi_copy	0	0
copy_multiplicity	sdic	1.5	Dsim	Dsim	single_copy	1	1
copy_multiplicity	sdic	1.5	Dsim	Dsim	tandem_multi_copy	0	0
copy_multiplicity	sdic	1.5	Dsim	Dsim	unknown	0	0
copy_multiplicity	sdic	1.5	Dsim	Dsim	unresolved	0	0
copy_multiplicity	sdic	1.5	mel	Dmel	dispersed_multi_copy	0	0
copy_multiplicity	sdic	1.5	mel	Dmel	same_contig_multi_copy	0	0
copy_multiplicity	sdic	1.5	mel	Dmel	single_copy	0	0
copy_multiplicity	sdic	1.5	mel	Dmel	tandem_multi_copy	1	1
copy_multiplicity	sdic	1.5	mel	Dmel	unknown	0	0
copy_multiplicity	sdic	1.5	mel	Dmel	unresolved	0	0
